id,@timestamp,bytes_in,client.bytes,destination.ip,dns.question.name,dns.response_code,dns.type,network.bytes,source.ip,status,client.port,destination.port,dns.flags.authentic_data,dns.id,dns.answers.data
157,2021-11-17T15:06:22.565Z,38.0,38.0,192.168.57.253,cdn.doubleverify.com,NOERROR,answer,178,10.3.228.75,OK,51230,53,False,1884,"[akacdn.doubleverify.com.edgekey.net"";""e17513.dscd.akamaiedge.net"";""23.197.227.54""]"""
158,2021-11-17T15:06:22.563Z,53.0,53.0,8.8.8.8,tps-geo.dvgtm.akadns.net,NOERROR,answer,154,192.168.57.253,OK,60399,53,False,24400,"[tpsc-uw2-failover.dvgtm.akadns.net"";""34.117.158.252""]"""
159,2021-11-17T15:06:22.562Z,39.0,39.0,192.168.57.253,rtb0.doubleverify.com,NOERROR,answer,182,10.3.228.75,OK,50887,53,False,51574,"[bs-geo.dvgtm.akadns.net"";""bs-wlb-uswest.dvgtm.akadns.net"";""cacp-hlb.dvgtm.akadns.net"";""63.251.109.125""]"""
160,2021-11-17T15:06:22.562Z,38.0,38.0,192.168.57.253,tps.doubleverify.com,NOERROR,answer,162,10.3.228.75,OK,51512,53,False,51559,"[tps-geo.dvgtm.akadns.net"";""tpsc-uw2-failover.dvgtm.akadns.net"";""34.117.158.252""]"""
161,2021-11-17T15:06:22.535Z,53.0,53.0,8.8.8.8,pixel-origin.mathtag.com,NOERROR,answer,138,192.168.57.253,OK,61835,53,False,29963,"[74.121.140.14"";""216.200.232.253""]"""
162,2021-11-17T15:06:22.534Z,34.0,34.0,192.168.57.253,sync.mathtag.com,NOERROR,answer,127,192.168.8.114,OK,55714,53,False,11756,"[pixel-origin.mathtag.com"";""74.121.140.14"";""216.200.232.253""]"""
163,2021-11-17T15:06:22.526Z,41.0,41.0,192.168.57.253,www.msftconnecttest.com,NOERROR,answer,218,10.3.229.76,OK,59790,53,False,1307,"[ncsi-geo.trafficmanager.net"";""v4ncsi.msedge.net"";""ncsi.4-c-0003.c-msedge.net"";""4-c-0003.c-msedge.net"";""13.107.4.52""]"""
164,2021-11-17T15:06:22.495Z,41.0,41.0,192.168.57.253,www.msftconnecttest.com,NOERROR,answer,218,192.168.191.201,OK,49810,53,False,3731,"[ncsi-geo.trafficmanager.net"";""v4ncsi.msedge.net"";""ncsi.4-c-0003.c-msedge.net"";""4-c-0003.c-msedge.net"";""13.107.4.52""]"""
165,2021-11-17T15:06:22.492Z,40.0,40.0,8.8.8.8,pixel.ex.co,NOERROR,answer,181,192.168.57.253,OK,60460,53,False,30460,"[j.sni.global.fastly.net"";""151.101.2.132"";""151.101.66.132"";""151.101.130.132"";""151.101.194.132""]"""
166,2021-11-17T15:06:22.492Z,29.0,29.0,192.168.57.253,pixel.ex.co,NOERROR,answer,159,192.168.152.83,OK,56917,53,False,25614,"[j.sni.global.fastly.net"";""151.101.2.132"";""151.101.66.132"";""151.101.130.132"";""151.101.194.132""]"""
167,2021-11-17T15:06:22.489Z,39.0,39.0,192.168.2.4,sit03-p326.reda1.com.ar,NOERROR,answer,130,192.168.57.253,OK,53914,53,False,20724,
168,2021-11-17T15:06:22.474Z,44.0,44.0,8.8.8.8,tools.cisco.com,NOERROR,answer,104,192.168.57.253,OK,60529,53,False,11843,173.37.145.8
169,2021-11-17T15:06:22.473Z,44.0,44.0,192.168.57.253,tools.cisco.com,NOERROR,answer,104,192.168.252.40,OK,36079,53,False,41772,173.37.145.8
170,2021-11-17T15:06:22.404Z,34.0,34.0,192.168.57.253,www.facebook.com,NOERROR,answer,113,192.168.160.117,OK,64209,53,False,22322,"[star-mini.c10r.facebook.com"";""31.13.94.35""]"""
171,2021-11-17T15:06:22.390Z,35.0,35.0,192.168.57.253,stags.bluekai.com,NOERROR,answer,161,192.168.8.114,OK,57378,53,False,8140,"[tags.bluekai.com.edgekey.net"";""e9126.x.akamaiedge.net"";""23.77.220.192""]"""
172,2021-11-17T15:06:22.383Z,29.0,29.0,192.168.57.253,sync.1rx.io,NOERROR,answer,74,192.168.8.114,OK,57523,53,False,7319,199.127.204.142
173,2021-11-17T15:06:22.341Z,47.0,47.0,8.8.8.8,us.creativecdn.com,NOERROR,answer,110,192.168.57.253,OK,61070,53,False,4020,185.184.10.30
174,2021-11-17T15:06:22.341Z,36.0,36.0,192.168.57.253,us.creativecdn.com,NOERROR,answer,88,192.168.65.39,OK,65160,53,False,64068,185.184.10.30
175,2021-11-17T15:06:22.337Z,42.0,42.0,192.168.57.253,sb.scorecardresearch.com,NOERROR,answer,148,192.168.65.39,OK,63787,53,False,54751,"[13.227.92.88"";""13.227.92.43"";""13.227.92.6"";""13.227.92.124""]"""
176,2021-11-17T15:06:22.326Z,37.0,37.0,192.168.57.253,ubuntu16.reda1.com.ar,NOERROR,answer,137,192.168.57.23,OK,51416,53,False,5903,
177,2021-11-17T15:06:22.326Z,37.0,37.0,192.168.57.253,ubuntu16.reda1.com.ar,NOERROR,answer,137,192.168.57.23,OK,51416,53,False,65350,
178,2021-11-17T15:06:22.325Z,26.0,26.0,192.168.57.253,ubuntu16,SERVFAIL,answer,52,192.168.57.23,Error,33426,53,False,20331,
179,2021-11-17T15:06:22.325Z,26.0,26.0,192.168.57.253,ubuntu16,SERVFAIL,answer,52,192.168.57.23,Error,33426,53,False,18822,
180,2021-11-17T15:06:22.324Z,,,192.168.57.253,wpad.reda1.com.ar,NOERROR,answer,96,192.168.33.104,Error,53794,53,False,46325,
